,Name,UniqeIdentifier,No.,name_url,HP,Att,Def,S.Att,S.Def,Spd,Ph.Sweep,Sp.Sweep,Wall,Ph.Tank,Sp.Tank,PrimaryType,SecondaryType,Ability,Ability Gen,Ability Category,Activation Requirement,Gen,Male%,Female%,against_Normal,against_Fire,against_Water,against_Electric,against_Grass,against_Ice,against_Fight,against_Poison,against_Ground,against_Flying,against_Psychic,against_Bug,against_Rock,against_Ghost,against_Dragon,against_Dark,against_Steel,against_Fairy,Height (m),Weight (kg),Capture Rate,Base Happiness,Base Egg Steps,Experience Growth,mega_evolution,overall_legendary,final_stage,regional_form
21,Arbok,24arbokIntimidate1,24,arbok,60,95,69,65,79,80,175,145,208,164,144,poison,,Intimidate,3,Stats Affected,No,1,50.0,50.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,3.5,65.0,90,50,2560,Medium Fast,0,0,1,0
22,Arboliva,930arbolivaSeed Sower9,930,arboliva,78,69,90,125,109,39,108,164,277,159,234,grass,normal,Seed Sower,9,Type Change,Yes,9,50.0,50.0,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.4,48.2,45,50,2560,Medium Slow,0,0,1,0
23,Arcanine,59arcanineIntimidate1,59,arcanine,90,110,80,100,80,95,205,195,250,190,180,fire,rock,Intimidate,3,Stats Affected,No,1,75.0,25.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1.9,155.0,75,50,2560,Slow,0,0,1,0
24,Arceus,493arceusMultitype4,493,arceus,120,120,120,120,120,120,240,240,360,240,240,normal,,Multitype,4,Type Change,No,4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.2,320.0,3,0,15360,Slow,0,1,1,0
25,Archaludon,1018archaludonStamina9,1018,archaludon,90,105,130,125,65,85,190,210,285,235,190,steel,dragon,Stamina,7,Stats Affected,Yes,9,50.0,50.0,0.5,1.0,0.5,0.5,0.25,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,2.0,60.0,10,50,3840,Medium Fast,0,0,1,0
26,Archen,566archenDefeatist5,566,archen,55,112,45,74,45,70,182,144,145,157,119,rock,flying,Defeatist,5,Stats Affected,Yes,5,88.14,11.86,0.5,0.5,2.0,2.0,1.0,2.0,1.0,0.5,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,9.5,45,50,3840,Medium Fast,0,0,0,0
27,Archeops,567archeopsDefeatist5,567,archeops,75,140,65,112,65,110,250,222,205,205,177,rock,flying,Defeatist,5,Stats Affected,Yes,5,88.14,11.86,0.5,0.5,2.0,2.0,1.0,2.0,1.0,0.5,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,1.4,32.0,45,50,3840,Medium Fast,0,0,1,0
28,Arctibax,997arctibaxThermal Exchange9,997,arctibax,90,95,66,45,65,62,157,107,221,161,110,dragon,ice,Thermal Exchange,9,Status Affected,Yes,9,50.0,50.0,1.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.8,30.0,25,50,5120,Slow,0,0,0,0
29,Arctovish,883arctovishWater Absorb8,883,arctovish,90,90,100,80,90,55,145,135,280,190,170,water,ice,Water Absorb,3,Healing,Yes,8,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,175.0,45,50,4480,Slow,0,0,1,0
30,Arctozolt,881arctozoltVolt Absorb8,881,arctozolt,90,100,90,90,80,55,155,145,260,190,170,electric,ice,Volt Absorb,3,Healing,Yes,8,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.5,2.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.3,150.0,45,50,4480,Slow,0,0,1,0
31,Ariados,168ariadosSwarm2,168,ariados,70,90,70,60,70,40,130,100,210,160,130,bug,poison,Swarm,3,Conditional Power Boosts,Yes,2,50.0,50.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.1,33.5,90,50,1920,Fast,0,0,1,0
32,Armaldo,348armaldoBattle Armor3,348,armaldo,75,125,100,70,80,45,170,115,255,225,150,rock,bug,Battle Armor,3,Critical Hit Interaction,Yes,3,88.14,11.86,0.5,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.5,68.2,45,50,3840,Erratic,0,0,1,0
33,Armarouge,936armarougeFlash Fire9,936,armarouge,85,60,100,125,80,75,135,200,265,160,205,fire,psychic,Flash Fire,3,Conditional Power Boosts,Yes,9,50.0,50.0,1.0,0.0,2.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,0.5,0.5,1.5,85.0,25,20,4480,Slow,0,0,1,0
34,Aromatisse,683aromatisseHealer6,683,aromatisse,101,72,72,99,89,29,101,128,262,144,188,fairy,,Healer,5,Stats Affected,No,6,50.2,49.8,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0.8,15.5,140,50,2560,Medium Fast,0,0,1,0
35,Aron,304aronSturdy3,304,aron,50,70,100,40,40,30,100,70,190,170,80,steel,rock,Sturdy,3,Damage Modification,No,3,50.2,49.8,0.25,1.0,2.0,1.0,1.0,0.5,4.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,0.4,60.0,180,35,4480,Slow,0,0,0,0
36,Arrokuda,846arrokudaSwift Swim8,846,arrokuda,41,63,40,40,30,66,129,106,111,103,70,water,,Swift Swim,3,Stats Affected,Yes,8,50.0,50.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,255,50,2560,Slow,0,0,0,0
37,Articuno,144articunoPressure1,144,articuno,90,85,100,95,125,85,170,180,315,185,220,ice,flying,Pressure,3,Stats Affected,No,1,0.0,0.0,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0,1.7,50.9,3,35,10240,Slow,0,1,1,0
38,Audino,531audinoHealer5,531,audino,103,60,86,60,86,50,110,110,275,146,146,normal,,Healer,5,Stats Affected,No,5,50.2,49.8,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.1,31.0,255,50,2560,Fast,1,0,1,0
39,Aurorus,699aurorusRefrigerate6,699,aurorus,123,77,72,99,92,58,135,157,287,149,191,rock,ice,Refrigerate,6,Type Change,Yes,6,88.14,11.86,0.5,1.0,2.0,1.0,2.0,0.5,4.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.7,225.0,45,50,3840,Medium Fast,0,0,1,0
40,Avalugg,713avaluggOwn Tempo6,713,avalugg,95,117,184,44,46,28,145,72,325,301,90,ice,rock,Own Tempo,3,Damage Modification,Yes,6,50.0,50.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,505.0,55,50,2560,Medium Fast,0,0,1,0
41,Axew,610axewRivalry5,610,axew,46,87,60,30,40,57,144,87,146,147,70,dragon,,Rivalry,4,Stats Affected,No,5,50.0,50.0,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.6,18.0,75,35,5120,Slow,0,0,0,0
42,Azelf,482azelfLevitate4,482,azelf,75,125,70,125,70,115,240,240,215,195,195,psychic,,Levitate,3,Type Advantage and Manipulation,No,4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.3,0.3,3,140,10240,Slow,0,1,1,0
43,Azumarill,184azumarillThick Fat2,184,azumarill,100,50,80,60,80,50,100,110,260,130,140,water,fairy,Thick Fat,3,Type Advantage and Manipulation,No,2,50.0,50.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.8,28.5,75,50,1280,Fast,0,0,1,0
44,Azurill,298azurillThick Fat3,298,azurill,50,20,40,20,40,20,40,40,130,60,60,normal,fairy,Thick Fat,3,Type Advantage and Manipulation,No,3,25.0,75.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,0.2,2.0,150,50,1280,Fast,0,0,0,0
45,Bagon,371bagonRock Head3,371,bagon,45,75,60,40,30,50,125,90,135,135,70,dragon,,Rock Head,3,Damage Modification,No,3,50.0,50.0,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.6,42.1,45,35,5120,Slow,0,0,0,0
46,Baltoy,343baltoyLevitate3,343,baltoy,40,40,55,40,70,55,95,95,165,95,110,ground,psychic,Levitate,3,Type Advantage and Manipulation,No,3,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.5,0.5,0.0,1.0,0.5,2.0,0.5,2.0,1.0,2.0,1.0,1.0,0.5,21.5,255,50,2560,Medium Fast,0,0,0,0
47,Banette,354banetteInsomnia3,354,banette,64,115,65,83,63,65,180,148,192,180,146,ghost,,Insomnia,3,Damage Modification,Yes,3,50.0,50.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0,1.1,12.5,45,35,3200,Fast,1,0,1,0
48,Barbaracle,689barbaracleTough Claws6,689,barbaracle,72,105,115,54,86,68,173,122,273,220,140,rock,water,Tough Claws,6,Conditional Power Boosts,No,6,50.2,49.8,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,96.0,45,50,2560,Medium Fast,0,0,1,0
49,Barboach,339barboachOblivious3,339,barboach,50,48,43,46,41,60,108,106,134,91,87,water,ground,Oblivious,3,Damage Modification,Yes,3,50.0,50.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.4,1.9,190,50,2560,Medium Fast,0,0,0,0
50,Barraskewda,847barraskewdaSwift Swim8,847,barraskewda,61,123,60,60,50,136,259,196,171,183,110,water,,Swift Swim,3,Stats Affected,Yes,8,50.0,50.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.3,30.0,60,50,2560,Slow,0,0,1,0
51,Basculegion,902basculegionSwift Swim8,902,basculegion,120,112,65,80,75,78,190,158,260,177,155,water,ghost,Swift Swim,3,Stats Affected,Yes,8,50.0,50.0,0.0,0.5,0.5,2.0,2.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,0.5,1.0,3.0,110.0,45,50,2560,Medium Fast,0,0,1,0
52,Basculin,550basculinReckless5,550,basculin,70,92,65,80,55,98,190,178,190,157,135,water,,Reckless,4,Conditional Power Boosts,No,5,50.0,50.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,18.0,190,50,5120,Medium Fast,0,0,1,0
53,Bastiodon,411bastiodonSturdy4,411,bastiodon,60,52,168,47,138,30,82,77,366,220,185,rock,steel,Sturdy,3,Damage Modification,No,4,88.0,12.0,0.25,1.0,2.0,1.0,1.0,0.5,4.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.3,149.5,45,50,3840,Erratic,0,0,1,0
54,Baxcalibur,998baxcaliburThermal Exchange9,998,baxcalibur,115,145,92,75,86,87,232,162,293,237,161,dragon,ice,Thermal Exchange,9,Status Affected,Yes,9,50.0,50.0,1.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.1,210.0,10,50,5120,Slow,0,0,1,0
55,Bayleef,153bayleefOvergrow2,153,bayleef,60,62,80,63,80,60,122,123,220,142,143,grass,,Overgrow,3,Conditional Power Boosts,Yes,2,88.0,12.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,15.8,45,50,2560,Medium Slow,0,0,0,0
56,Beartic,614bearticSnow Cloak5,614,beartic,95,130,80,70,80,50,180,120,255,210,150,ice,,Snow Cloak,4,Stats Affected,Yes,5,50.0,50.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.6,260.0,60,50,2560,Medium Fast,0,0,1,0
57,Beautifly,267beautiflySwarm3,267,beautifly,60,70,50,100,50,65,135,165,160,120,150,bug,flying,Swarm,3,Conditional Power Boosts,Yes,3,50.2,49.8,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,28.4,45,50,1920,Medium Fast,0,0,1,0
58,Beedrill,15beedrillSwarm1,15,beedrill,65,90,40,45,80,75,165,120,185,130,125,bug,poison,Swarm,3,Conditional Power Boosts,Yes,1,50.2,49.8,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.0,29.5,45,50,1920,Medium Fast,1,0,1,0
59,Beheeyem,606beheeyemTelepathy5,606,beheeyem,75,75,75,125,95,40,115,165,245,150,220,psychic,,Telepathy,5,Miscellaneous,No,5,50.2,49.8,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,34.5,90,50,2560,Medium Fast,0,0,1,0
60,Beldum,374beldumClear Body3,374,beldum,40,55,80,35,60,30,85,65,180,135,95,steel,psychic,Clear Body,3,Stats Affected,Yes,3,0.0,0.0,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,0.5,0.25,1.0,0.5,2.0,0.5,2.0,0.5,0.5,0.6,95.2,3,35,5120,Slow,0,0,0,0
61,Bellibolt,939belliboltElectromorphosis9,939,bellibolt,109,64,91,103,83,45,109,148,283,155,186,electric,,Electromorphosis,9,Type Advantage and Manipulation,Yes,9,50.0,50.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.2,113.0,50,50,2560,Medium Fast,0,0,1,0
62,Bellossom,182bellossomChlorophyll2,182,bellossom,75,80,95,90,100,50,130,140,270,175,190,grass,,Chlorophyll,3,Stats Affected,Yes,2,50.0,50.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,5.8,45,50,2560,Medium Slow,0,0,1,0
63,Bellsprout,69bellsproutChlorophyll1,69,bellsprout,50,75,35,70,30,40,115,110,115,110,100,grass,poison,Chlorophyll,3,Stats Affected,Yes,1,50.0,50.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.7,4.0,255,50,2560,Medium Slow,0,0,0,0
64,Bergmite,712bergmiteOwn Tempo6,712,bergmite,55,69,85,32,35,28,97,60,175,154,67,ice,,Own Tempo,3,Damage Modification,Yes,6,50.0,50.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,99.5,190,50,2560,Medium Fast,0,0,0,0
65,Bewear,760bewearFluffy7,760,bewear,120,125,80,55,60,60,185,115,260,205,115,normal,fighting,Fluffy,7,Type Advantage and Manipulation,No,7,50.2,49.8,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.5,0.5,0.0,1.0,0.5,1.0,2.0,2.1,135.0,70,50,1920,Medium Fast,0,0,1,0
66,Bibarel,400bibarelSimple4,400,bibarel,79,85,60,55,60,71,156,126,199,145,115,normal,water,Simple,4,Stats Affected,No,4,50.2,49.8,1.0,0.5,0.5,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,31.5,127,50,1920,Medium Fast,0,0,1,0
67,Bidoof,399bidoofSimple4,399,bidoof,59,45,40,35,40,31,76,66,139,85,75,normal,,Simple,4,Stats Affected,No,4,50.2,49.8,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,20.0,255,50,1920,Medium Fast,0,0,0,0
68,Binacle,688binacleTough Claws6,688,binacle,42,52,67,39,56,50,102,89,165,119,95,rock,water,Tough Claws,6,Conditional Power Boosts,No,6,50.2,49.8,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,31.0,120,50,2560,Medium Fast,0,0,0,0
69,Bisharp,625bisharpDefiant5,625,bisharp,65,125,100,60,70,70,195,130,235,225,130,dark,steel,Defiant,5,Stats Affected,Yes,5,50.0,50.0,0.5,2.0,1.0,1.0,0.5,0.5,4.0,0.0,2.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.6,70.0,45,35,2560,Medium Fast,0,0,0,0
70,Blacephalon,806blacephalonBeast Boost7,806,blacephalon,53,127,53,151,79,107,234,258,185,180,230,fire,ghost,Beast Boost,7,Conditional Power Boosts,No,7,0.0,0.0,0.0,0.5,2.0,1.0,0.5,0.5,0.0,0.5,2.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,0.5,0.5,1.8,13.0,30,0,15360,Slow,0,1,1,0
71,Blastoise,9blastoiseTorrent1,9,blastoise,79,83,100,85,105,78,161,163,284,183,190,water,,Torrent,3,Conditional Power Boosts,Yes,1,88.0,12.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.6,85.5,45,50,2560,Medium Slow,1,0,1,0
